user,Question,Answer,Similarity,Question_Time,Answer_Time
陌***,3岁能学吗？,@陌*** 可以,1.0,1900-01-01 08:06:00,1900-01-01 08:06:00
🌈***,两岁多能学会吗？,@🌈*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 08:07:00,1900-01-01 08:07:00
漫***,会不会近视,特别提醒！一号链接21天会员畅享，不含平板&学习机哦,0.6317149996757507,1900-01-01 08:10:00,1900-01-01 08:12:00
天***,我在孩子小班时买的这个，现在上中班了还没开始用！,@天*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 08:19:00,1900-01-01 08:19:00
温***,一年级可以不,@温*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 08:24:00,1900-01-01 08:24:00
温***,刚开始喜欢这个模式，但是后面就是一模一样的模式，后面就只玩里面的游戏就不识字了，只为了游戏而识字,@温*** 根据小朋友基础、投入时间、吸收能力等，不同小朋友学习效果不同,1.0,1900-01-01 08:27:00,1900-01-01 08:27:00
温***,最终没学会,@温*** 根据小朋友基础、投入时间、吸收能力等，不同小朋友学习效果不同,1.0,1900-01-01 08:27:00,1900-01-01 08:27:00
曦***,可以学几年？,特别提醒！一号链接21天会员畅享，不含平板&学习机哦,0.6463186144828796,1900-01-01 08:28:00,1900-01-01 08:30:00
明***,可以学多长时间,@明*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 08:28:00,1900-01-01 08:28:00
范***,拍了咋用,@范*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 08:29:00,1900-01-01 08:29:00
皓***,几岁开始啊,@皓*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 08:30:00,1900-01-01 08:30:00
简***,能用多久,@简*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 08:31:00,1900-01-01 08:31:00
奔***,是软件吗,@奔*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 08:32:00,1900-01-01 08:32:00
我***,如果看完21天了再咋收费,@我*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 08:33:00,1900-01-01 08:33:00
英***,ipad可以看吗,@英*** 可以,1.0,1900-01-01 08:33:00,1900-01-01 08:33:00
奔***,限制时间吗,@奔*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 08:33:00,1900-01-01 08:33:00
我***,咋收费,,,1900-01-01 08:34:00,
我***,是一年还是按月,今天在直播间下单，除产品外让孩子再拥有一个专属识字指导客服,0.5621446371078491,1900-01-01 08:34:00,1900-01-01 08:37:00
皓***,我家小孩40个月，几乎没有识字能用吗,@皓*** 可以,1.0,1900-01-01 08:36:00,1900-01-01 08:37:00
招***,一直可以使用吗,@招*** 21天,1.0,1900-01-01 08:37:00,1900-01-01 08:39:00
沐***,有效期多长时间,@沐*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 08:40:00,1900-01-01 08:40:00
1***,怎么识字，通过绘本阅读识字？,支持各类手机/平板/学习机！APP内每阅读20分钟自动护眼提醒！,0.5386825799942017,1900-01-01 08:44:00,1900-01-01 08:44:00
二***,用PC端练习吗,@二*** 手机平板学习机都可以,1.0,1900-01-01 08:49:00,1900-01-01 08:50:00
二***,有纸质资料的吧,@二*** 是的,1.0,1900-01-01 08:51:00,1900-01-01 08:53:00
王***,21天以后能不能用了,@王*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 08:52:00,1900-01-01 08:52:00
二***,学习进度自己把握吗,@二*** 是的,1.0,1900-01-01 08:52:00,1900-01-01 08:53:00
二***,拍了可以重复用吗,@二*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 08:55:00,1900-01-01 08:55:00
二***,还是能能解锁21天,@二*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 08:55:00,1900-01-01 08:55:00
小***,在哪了看,,,1900-01-01 08:55:00,
三***,一个字也不认识能行吗,@三*** 根据小朋友基础、投入时间、吸收能力等，不同小朋友学习效果不同,1.0,1900-01-01 09:00:00,1900-01-01 09:00:00
三***,视频回放课？,@三*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:01:00,1900-01-01 09:01:00
皓***,3周多的是不是早了的,@皓*** 3周可以用,1.0,1900-01-01 09:07:00,1900-01-01 09:08:00
强***,21天就不能继续使用了吗？,一号链接使用21天，是一款识字阅读软件【适趣AI中文】,0.719387412071228,1900-01-01 09:07:00,1900-01-01 09:09:00
花***,这是看视频吗,@花*** 不是视频,1.0,1900-01-01 09:10:00,1900-01-01 09:10:00
苗***,用一年需要多少钱？,@苗*** 1年到期联系阅读客服,1.0,1900-01-01 09:10:00,1900-01-01 09:12:00
三***,2周岁的能学了吗,@三*** 2岁还不行,1.0,1900-01-01 09:11:00,1900-01-01 09:11:00
☀***,第一次进来孩子是通过怎么读的能发给我看看,1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,0.5533007383346558,1900-01-01 09:11:00,1900-01-01 09:12:00
苗***,99之后什么价格？,@苗*** 1年到期联系阅读客服,1.0,1900-01-01 09:12:00,1900-01-01 09:12:00
A***,繁體出來了嗎？,@A*** 没有,1.0,1900-01-01 09:15:00,1900-01-01 09:15:00
田博士带娃学习,@A*** 没有,仅直播间活动力度，优惠数量有限，每个手机号码限购一次哦,0.539112389087677,1900-01-01 09:15:00,1900-01-01 09:15:00
苗***,21天提供多少个字？,@苗*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:17:00,1900-01-01 09:17:00
靖***,有效期是多久,@靖*** 21天,1.0,1900-01-01 09:18:00,1900-01-01 09:18:00
请***,要手机吗？,@请*** 手机平板学习机就可以,1.0,1900-01-01 09:21:00,1900-01-01 09:21:00
浩***,零基础的可以吗,@浩*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:23:00,1900-01-01 09:23:00
常***,怎么认识的字,@常*** 根据小朋友基础、投入时间、吸收能力等，不同小朋友学习效果不同,1.0,1900-01-01 09:23:00,1900-01-01 09:23:00
浩***,需要多久,@浩*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:23:00,1900-01-01 09:23:00
佳***,只学21天？,@佳*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:26:00,1900-01-01 09:26:00
一***,快讲怎么用吧,,,1900-01-01 09:28:00,
用***,99元是买21天的会员？,@用*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:30:00,1900-01-01 09:30:00
用***,21天之后咋着收费？？？,@用*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:31:00,1900-01-01 09:31:00
兮***,视频可以学几天,@兮*** 不是视频哈，是识字软件，可以阅读绘本识字,1.0,1900-01-01 09:31:00,1900-01-01 09:31:00
灵***,用手机看？,@灵*** 手机平板学习机,1.0,1900-01-01 09:32:00,1900-01-01 09:32:00
兮***,这个软件可以学习多久,@兮*** 21天,1.0,1900-01-01 09:32:00,1900-01-01 09:32:00
用***,21天怎么收费？？？？？？？？？,@用*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:32:00,1900-01-01 09:32:00
童***,课程观看有效期多久？,@童*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:34:00,1900-01-01 09:34:00
娜***,已订购，怎么领取,下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,0.5481401085853577,1900-01-01 09:39:00,1900-01-01 09:39:00
雲***,这个以后升级需要付费吗？,特别提醒！一号链接21天会员畅享，不含平板&学习机哦,0.5396102666854858,1900-01-01 09:40:00,1900-01-01 09:40:00
冬***,我买了了很久了，没有学,@冬*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 09:43:00,1900-01-01 09:43:00
冬***,要怎么弄,@冬*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 09:43:00,1900-01-01 09:43:00
冯***,要下载的吗？,@冯*** 手机平板都可以,1.0,1900-01-01 09:43:00,1900-01-01 09:44:00
田博士带娃学习,@冬*** 过期了无法使用了亲,下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,0.6203541159629822,1900-01-01 09:43:00,1900-01-01 09:43:00
冯***,怎么用？,@冯*** 手机平板都可以,1.0,1900-01-01 09:43:00,1900-01-01 09:44:00
冯***,手机和平板同时用吗？,@冯*** 手机平板都可以,1.0,1900-01-01 09:44:00,1900-01-01 09:44:00
猪***,这个是几岁孩子用的,@猪*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 09:44:00,1900-01-01 09:44:00
毅***,21天时间怎么安排，连续21天吗,@毅*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:49:00,1900-01-01 09:49:00
一***,还有后续费用吗,@一*** 后续联系阅读老师续费比直播间更划算,1.0,1900-01-01 09:51:00,1900-01-01 09:51:00
奔***,手机号码写在哪里,@奔*** 下单界面最上方,1.0,1900-01-01 09:52:00,1900-01-01 09:53:00
苏***,怎么用啊,@苏*** 根据小朋友基础、投入时间、吸收能力等，不同小朋友学习效果不同,1.0,1900-01-01 09:54:00,1900-01-01 09:55:00
一***,21天以后就不能用了吗,@一*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:54:00,1900-01-01 09:54:00
是***,21天就不能用了吗,@是*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:54:00,1900-01-01 09:54:00
一***,是真人直播吗？怎么看不到我的问题？,@一*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:54:00,1900-01-01 09:54:00
苏***,21天能认识3000多个字？,@苏*** 根据小朋友基础、投入时间、吸收能力等，不同小朋友学习效果不同,1.0,1900-01-01 09:55:00,1900-01-01 09:55:00
是***,@田*** 那我们21天后怎么办？,@是*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:56:00,1900-01-01 09:56:00
七***,怎么拍需要填电话号码？,@七*** 需要,1.0,1900-01-01 09:56:00,1900-01-01 09:57:00
苏***,长期怎么买,@苏*** 到期联系阅读老师续费比直播间更划算,1.0,1900-01-01 09:56:00,1900-01-01 09:56:00
一***,21天以后要重新交费吗？费用是多少？,@一*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:57:00,1900-01-01 09:57:00
源***,怎么使用呀,,,1900-01-01 09:57:00,
奔***,已经添加老师微信，怎么可以看,@奔*** 耐心等待老师开通会员,1.0,1900-01-01 09:57:00,1900-01-01 09:58:00
七***,有时间限制吗？,@七*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 09:58:00,1900-01-01 09:58:00
七***,激活21天就没有过期吗，还是21天课程无限时间,@七*** 有效期就是21天,1.0,1900-01-01 09:59:00,1900-01-01 09:59:00
L***,希沃能用吗这个APP,@L*** 可以用】,1.0,1900-01-01 10:01:00,1900-01-01 10:01:00
黑***,怎么读,@黑*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:01:00,1900-01-01 10:05:00
虾***,有没有适合五年级学生的,@虾*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 10:03:00,1900-01-01 10:03:00
虾***,五年级的可以吗,@虾*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 10:04:00,1900-01-01 10:04:00
舒***,1号链接还是字卡吗？,@舒*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 10:05:00,1900-01-01 10:07:00
用***,几岁的小孩可以看这个绘本认字。,@用*** 最低三岁,1.0,1900-01-01 10:05:00,1900-01-01 10:08:00
舒***,1号，是怎么用,@舒*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 10:05:00,1900-01-01 10:07:00
时***,有效期多久，还是无限时间,@时*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:06:00,1900-01-01 10:06:00
时***,有效期才21天？,@时*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:06:00,1900-01-01 10:06:00
用***,最低几岁小孩可以认识这个卡识字。,@用*** 最低三岁,1.0,1900-01-01 10:08:00,1900-01-01 10:08:00
明***,刚进来，你就跟我说21天孩子能学到什么？21天以后呢？,@明*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:08:00,1900-01-01 10:08:00
明***,但是必须用电子产品学是吗？,@明*** 是的,1.0,1900-01-01 10:10:00,1900-01-01 10:10:00
