user,Question,Answer,Similarity,Question_Time,Answer_Time
明***,每天学习15分钟，一般能学几个字？,@明*** 根据孩子花费的时间和基础,1.0,1900-01-01 10:11:00,1900-01-01 10:12:00
骑***,21天是怎么记的，假如我有一天有事儿没时间学呢,@骑*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:13:00,1900-01-01 10:13:00
菁***,我们上过一次，还能不能再试一次,@菁*** 去联系阅读老师续费,1.0,1900-01-01 10:15:00,1900-01-01 10:16:00
🎊***,多少字？,@🎊*** 根据小朋友基础、投入时间、吸收能力等，不同小朋友学习效果不同,1.0,1900-01-01 10:19:00,1900-01-01 10:19:00
🎊***,app完成的吗？,@🎊*** 根据小朋友基础、投入时间、吸收能力等，不同小朋友学习效果不同,1.0,1900-01-01 10:19:00,1900-01-01 10:19:00
狂***,二次收费多少钱？,@狂*** 到期联系阅读老师续费,1.0,1900-01-01 10:21:00,1900-01-01 10:21:00
t***,这个99元可以多拍几单吗,@t*** 不可以,1.0,1900-01-01 10:21:00,1900-01-01 10:21:00
哈***,怎么上,正在讲解：3-8岁快速识字、自主阅读方法！0基础可用！1号链接名额有限，先到先得！,0.5174410343170166,1900-01-01 10:21:00,1900-01-01 10:21:00
思***,只能学21周？后面不能看了吗？,@思*** 21天,1.0,1900-01-01 10:21:00,1900-01-01 10:21:00
思***,我家当时学会了，在问他就还是不会,1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,0.5191544890403748,1900-01-01 10:23:00,1900-01-01 10:23:00
明***,下单后会有人联系？,@明*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 10:23:00,1900-01-01 10:23:00
田博士带娃学习,@愿*** 我们没有游戏,下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,0.5329117774963379,1900-01-01 10:24:00,1900-01-01 10:28:00
明***,已拍，等着就行？,@明*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 10:24:00,1900-01-01 10:24:00
填***,只能手机看？,支持各类手机/平板/学习机！APP内每阅读20分钟自动护眼提醒！,0.6119003295898438,1900-01-01 10:26:00,1900-01-01 10:26:00
馋***,怎么读,,,1900-01-01 10:26:00,
俊***,买了之后在手机上面看？,@俊*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 10:26:00,1900-01-01 10:26:00
江***,有没有拼音,@江*** 没有,1.0,1900-01-01 10:27:00,1900-01-01 10:28:00
田博士带娃学习,@江*** 没有,,,1900-01-01 10:28:00,
梅***,一年会员多少钱？,@梅*** 联系阅读老师续费比直播间更划算，直播间没有1年的,1.0,1900-01-01 10:28:00,1900-01-01 10:29:00
田博士带娃学习,@梅*** 联系阅读老师续费比直播间更划算，直播间没有1年的,3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,0.5510749220848083,1900-01-01 10:29:00,1900-01-01 10:29:00
南***,这个软件能用多久,@南*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:31:00,1900-01-01 10:31:00
江***,使用时间多久,1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,0.5656771659851074,1900-01-01 10:32:00,1900-01-01 10:32:00
@***,怎么学？要下载app吗？,@@*** APP适趣AI中文,1.0,1900-01-01 10:33:00,1900-01-01 10:33:00
南***,21天之后就没有用吗,@南*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:33:00,1900-01-01 10:33:00
南***,有长期的软件吗,@南*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:33:00,1900-01-01 10:33:00
A***,可以重复使用吗,@A*** 21天重复使用】,1.0,1900-01-01 10:33:00,1900-01-01 10:33:00
用***,适用什么年龄段？,@用*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:34:00,1900-01-01 10:34:00
悦***,我账号之前买过，现在还能买吗？,@悦*** 去联系阅读服务人员续费,1.0,1900-01-01 10:35:00,1900-01-01 10:36:00
用***,三年级可用吗,@用*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:35:00,1900-01-01 10:35:00
用***,家有不同年龄段俩娃，能共用吗,@用*** 可以用,1.0,1900-01-01 10:36:00,1900-01-01 10:36:00
静***,这是课程吗,,,1900-01-01 10:36:00,
梅***,下单了，可以过段时间开始学习吗？,@梅*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 10:36:00,1900-01-01 10:36:00
用***,两娃，幼儿园，小学生能一起用吗，还是拍两单,下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,0.5232130289077759,1900-01-01 10:37:00,1900-01-01 10:37:00
静***,一个软件？,正在讲解：3-8岁快速识字、自主阅读方法！0基础可用！1号链接名额有限，先到先得！,0.5096007585525513,1900-01-01 10:37:00,1900-01-01 10:39:00
何***,怎么下载呢？,正在讲解：3-8岁快速识字、自主阅读方法！0基础可用！1号链接名额有限，先到先得！,0.5476556420326233,1900-01-01 10:39:00,1900-01-01 10:39:00
a***,老师没通过啊,@a*** 耐心等待哈,1.0,1900-01-01 10:41:00,1900-01-01 10:41:00
睡***,两岁半可以用吗,@睡*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 10:45:00,1900-01-01 10:45:00
小***,一次多久？因为没有接触电子产品,@小*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:45:00,1900-01-01 10:45:00
H***,是在手机上下载app学吗,@H*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 10:46:00,1900-01-01 10:47:00
H***,一年级还能行吗,@H*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 10:47:00,1900-01-01 10:47:00
张***,用APP吗,@张*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 10:47:00,1900-01-01 10:47:00
菜***,有没有长期的啊,@菜*** 到期联系阅读老师续费，比直播间更划算,1.0,1900-01-01 10:47:00,1900-01-01 10:47:00
张***,通过绘本指读吗,@张*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:48:00,1900-01-01 10:48:00
张***,不用家长教吗,@张*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:48:00,1900-01-01 10:48:00
向***,这个确实不错，我已经推荐给好几个人了,@向*** 根据小朋友基础、投入时间、吸收能力等，不同小朋友学习效果不同,1.0,1900-01-01 10:49:00,1900-01-01 10:51:00
H***,这个是可以重复看的吗,1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,0.531455934047699,1900-01-01 10:49:00,1900-01-01 10:49:00
昂***,多久的有效期？,@昂*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:49:00,1900-01-01 10:49:00
努***,后边没有升单了吧,@努*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:51:00,1900-01-01 10:53:00
快***,只有21天吗,@快*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:51:00,1900-01-01 10:51:00
晓***,已买，要下载软件吗,@晓*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:52:00,1900-01-01 10:52:00
🐶***,是有限时的吗？,@🐶*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:53:00,1900-01-01 10:53:00
努***,只能看21天吗？,@努*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:53:00,1900-01-01 10:53:00
🐶***,21天后就用不了了吗？,@🐶*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:53:00,1900-01-01 10:53:00
张***,一天读多长时间,@张*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:56:00,1900-01-01 10:56:00
张***,21天能学会多少字？,@张*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:56:00,1900-01-01 10:56:00
天***,能详细看看怎么上吗,下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,0.531671404838562,1900-01-01 10:57:00,1900-01-01 10:57:00
忘***,有效期多久,@忘*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:58:00,1900-01-01 10:58:00
张***,就能用21天吗,@张*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:58:00,1900-01-01 10:58:00
张***,有效期只有21天？,@张*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:58:00,1900-01-01 10:58:00
一***,3岁可以吗？,@一*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 10:59:00,1900-01-01 10:59:00
张***,后续还想用怎么续费,@张*** 到期联系阅读老师续费，比直播间更划算,1.0,1900-01-01 10:59:00,1900-01-01 10:59:00
你***,21天之后就看不了了吗,@你*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 10:59:00,1900-01-01 10:59:00
小***,只有21天？然后不能学了？还要继续学的话，还需要购买？,@小*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:01:00,1900-01-01 11:01:00
你***,21天之后怎么办,@你*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:01:00,1900-01-01 11:01:00
初***,怎么使用,,,1900-01-01 11:01:00,
大***,只能学21天吗,@大*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:02:00,1900-01-01 11:02:00
A***,拍了怎么用,@A*** 是的,1.0,1900-01-01 11:03:00,1900-01-01 11:05:00
阳***,21天以后还想学呢？,@阳*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:04:00,1900-01-01 11:04:00
A***,点开链接核销是吗,@A*** 是的,1.0,1900-01-01 11:05:00,1900-01-01 11:05:00
鱼***,后期还在收费吗？,@鱼*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:07:00,1900-01-01 11:12:00
张***,拍完了等人联系我是吗,@张*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 11:07:00,1900-01-01 11:07:00
鱼***,寿后期还在收费吗？,@鱼*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:08:00,1900-01-01 11:12:00
心***,小学二年级怎么样,@心*** 3岁以上，直接拍1号链接99元21天，0基础弱基础启蒙识字，小朋友快速打破识字瓶颈～,1.0,1900-01-01 11:08:00,1900-01-01 11:08:00
鱼***,收期还在收费吗,@鱼*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:08:00,1900-01-01 11:12:00
张***,怎么打开呀？我拍完了。,@张*** 下单后务必查看短信！点击链接，核销领取🌟专属客服🌟协助产品开通、使用！,1.0,1900-01-01 11:09:00,1900-01-01 11:09:00
抖***,有书吗,@抖*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:09:00,1900-01-01 11:09:00
田博士带娃学习,@抖*** 没有书,仅直播间活动力度，优惠数量有限，每个手机号码限购一次哦,0.5906609892845154,1900-01-01 11:10:00,1900-01-01 11:12:00
岁***,达不到会退钱吗,@岁*** 开通之后不支持退,1.0,1900-01-01 11:13:00,1900-01-01 11:15:00
快***,手机和平板都能用吗,1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,0.5585466027259827,1900-01-01 11:16:00,1900-01-01 11:16:00
🧑***,支持小袁学练机吗,1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,0.5100379586219788,1900-01-01 11:21:00,1900-01-01 11:21:00
花***,手机就能用是么？,@花*** 对,1.0,1900-01-01 11:22:00,1900-01-01 11:24:00
🧑***,只有21天吗,@🧑*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:27:00,1900-01-01 11:27:00
🧑***,长期用怎么收费,@🧑*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:27:00,1900-01-01 11:27:00
子***,以后的会员补差价还是重新交费,@子*** 带起联系阅读老师,1.0,1900-01-01 11:31:00,1900-01-01 11:31:00
用***,用手机学习吗？,仅直播间活动力度，优惠数量有限，每个手机号码限购一次哦,0.65392005443573,1900-01-01 11:39:00,1900-01-01 11:39:00
熙***,以后还要收费吗,,,1900-01-01 11:40:00,
田博士带娃学习,@�*** 没有2号链接啊,正在讲解：3-8岁快速识字、自主阅读方法！0基础可用！1号链接名额有限，先到先得！,0.578312337398529,1900-01-01 11:46:00,1900-01-01 11:46:00
m***,年卡有优惠吗,@m*** 联系阅读客服,1.0,1900-01-01 11:48:00,1900-01-01 11:48:00
娜***,怎么学,特别提醒！一号链接21天会员畅享，不含平板&学习机哦,0.6527804136276245,1900-01-01 11:48:00,1900-01-01 11:49:00
